n,k,cp_time,sap_time,time_ratio_cp_over_sap,cp_nodes,sap_nodes,node_ratio_cp_over_sap,cp_failures,sap_failures,failure_ratio_cp_over_sap,cp_timeouts,sap_timeouts
20,3,0.0012,0.0018,0.6666666666666666,33.6,3.75,8.96,21.9,0.75,29.2,0,0
20,4,0.0021,0.0046,0.45652173913043476,83.0,6.55,12.67175572519084,48.75,0.35,139.2857142857143,0,0
20,5,0.0141,0.0079,1.7848101265822782,362.45,9.15,39.612021857923494,295.45,0.45,656.5555555555555,0,0
20,7,0.2888,0.0125,23.104,2382.5,10.85,219.5852534562212,2341.9,0.1,23419.0,0,0
20,10,0.3115,0.0211,14.76303317535545,2322.3,14.2,163.54225352112678,2265.65,0.35,6473.285714285715,0,0
30,3,0.002,0.0043,0.46511627906976744,57.6,5.0,11.52,25.4,0.55,46.18181818181817,0,0
30,4,0.0362,0.0188,1.9255319148936172,662.3,10.75,61.60930232558139,518.35,1.5,345.56666666666666,0,0
30,5,5.975,0.0289,206.74740484429066,50032.6,13.45,3719.895910780669,46611.85,1.75,26635.342857142856,0,0
30,7,1.8576,0.0584,31.80821917808219,14127.76,18.41,767.3959804454101,12635.88,1.88,6721.212765957447,3,0
30,10,0.0458,0.0877,0.5222348916761688,648.63,21.58,30.056997219647823,518.47,0.63,822.968253968254,1,0
50,3,0.0294,0.082,0.35853658536585364,272.55,13.55,20.11439114391144,165.35,6.25,26.456,0,0
50,4,1.7601,0.3365,5.2306092124814265,5689.89,42.32,134.4491965973535,4378.05,27.11,161.4920693471044,1,0
50,5,4.3245,0.7361,5.874881130281211,20476.84,69.11,296.29344523223847,15857.0,48.53,326.74634246857613,1,0
50,7,1.7779,0.3692,4.815547128927411,9326.62,34.69,268.8561545113866,7122.25,7.56,942.0965608465609,4,0
50,10,2.5983,0.5519,4.707918101105273,11016.88,35.71,308.5096611593391,8818.41,2.29,3850.834061135371,3,0
100,3,0.297,2.5649,0.11579398806971031,1454.25,107.55,13.521617852161786,655.5,89.4,7.33221476510067,0,0
100,4,58.23,5.2582,11.074131832185918,86554.42,158.42,546.3604342886,58103.25,120.67,481.50534515621115,7,4
100,5,161.6255,36.9147,4.37835062996584,269385.12,334.88,804.4228380315337,181341.88,283.38,639.9247653327687,12,3
100,7,123.776,5.3198,23.267040114290012,173365.2,69.0,2512.5391304347827,115753.6,15.6,7420.102564102564,13,4
100,10,162.919,7.9513,20.48960547331883,173693.57,86.86,1999.6957172461432,112340.29,17.14,6554.275962660443,12,2
