n,k,sap_checks_avg,sap_prunings_avg,sap_conflicts_avg
20,3,126.60,31.65,0.20
20,4,158.35,27.85,0.10
20,5,202.40,24.45,0.30
20,7,195.75,21.30,0.05
20,10,228.15,13.45,0.15
30,3,243.90,45.70,0.15
30,4,389.80,50.45,0.55
30,5,431.80,48.95,0.95
30,7,539.29,47.35,1.59
30,10,515.74,21.05,0.16
50,3,1132.35,134.55,2.00
50,4,3460.89,271.58,14.00
50,5,5395.63,295.79,39.21
50,7,1808.31,90.81,2.44
50,10,1480.53,52.00,1.12
100,3,19305.45,662.40,16.65
100,4,30421.67,1070.58,71.67
100,5,57253.38,1150.88,240.88
100,7,7121.80,451.20,5.00
100,10,8295.71,92.43,14.86
